phase,lon,lat,VwIND
Early,-177.5,-90,0.0815086465413786
Early,-177.5,-87.5,-0.08316168335009105
Early,-177.5,-85,-0.21620513539901656
Early,-177.5,-82.5,-0.22698077922877496
Early,-177.5,-80,-0.1581596962420547
Early,-177.5,-77.5,-0.09342998847924469
Early,-177.5,-75,-0.036370221743866
Early,-177.5,-72.5,0.051405474818012525
Early,-177.5,-70,0.13409955744706326
Early,-177.5,-67.5,0.12228151649710842
Early,-177.5,-65,0.004592897812642835
Early,-177.5,-62.5,-0.11703376097086315
Early,-177.5,-60,-0.15375889551251978
Early,-177.5,-57.5,-0.12970583508596567
Early,-177.5,-55,-0.1269649471983511
Early,-177.5,-52.5,-0.16960093746778404
Early,-177.5,-50,-0.21152451911301887
Early,-177.5,-47.5,-0.21178319242662827
Early,-177.5,-45,-0.17254268507579532
Early,-177.5,-42.5,-0.11158282843208703
Early,-177.5,-40,-0.04415850476908407
Early,-177.5,-37.5,0.004691392723314989
Early,-177.5,-35,0.013380817858705858
Early,-177.5,-32.5,0.0023194410310791703
Early,-177.5,-30,0.013946359147070986
Early,-177.5,-27.5,0.06882798734571553
Early,-177.5,-25,0.13070187123556956
Early,-177.5,-22.5,0.14213264859408142
Early,-177.5,-20,0.08102465308112067
Early,-177.5,-17.5,-0.03496520159955671
Early,-177.5,-15,-0.15367492043085246
Early,-177.5,-12.5,-0.23171048759283405
Early,-177.5,-10,-0.2626593227672397
Early,-177.5,-7.5,-0.2743710046838101
Early,-177.5,-5,-0.29824692359604116
Early,-177.5,-2.5,-0.3214742601000032
Early,-177.5,0,-0.306002230857168
Early,-177.5,2.5,-0.2384290408970307
Early,-177.5,5,-0.138948102367221
Early,-177.5,7.5,-0.04134159472656111
Early,-177.5,10,0.043806336330992596
Early,-177.5,12.5,0.11404489573880917
Early,-177.5,15,0.16237304839900948
Early,-177.5,17.5,0.19352624484847633
Early,-177.5,20,0.22468976808397384
Early,-177.5,22.5,0.25513715058915076
Early,-177.5,25,0.25180872992585135
Early,-177.5,27.5,0.18262487318554757
Early,-177.5,30,0.05977145559811406
Early,-177.5,32.5,-0.06758291142500528
Early,-177.5,35,-0.16345903349080276
Early,-177.5,37.5,-0.22450858296007012
Early,-177.5,40,-0.25987690987891976
Early,-177.5,42.5,-0.2798282639752811
Early,-177.5,45,-0.29094389033444695
Early,-177.5,47.5,-0.28508852910935145
Early,-177.5,50,-0.22087683250045062
Early,-177.5,52.5,-0.06745907221604153
Early,-177.5,55,0.13665451621121544
Early,-177.5,57.5,0.2714383614448847
Early,-177.5,60,0.24906598997980575
Early,-177.5,62.5,0.11082653565078272
Early,-177.5,65,-0.01794529935133565
Early,-177.5,67.5,-0.059701022587180956
Early,-177.5,70,-0.04367884628187712
Early,-177.5,72.5,-0.022170061433529606
Early,-177.5,75,0.026733161348847487
Early,-177.5,77.5,0.14794624284205618
Early,-177.5,80,0.3182255774954894
Early,-177.5,82.5,0.42834983978232993
Early,-177.5,85,0.3825212942417797
Early,-177.5,87.5,0.18731111382603072
Early,-177.5,90,-0.06763025056395719
Early,-175,-90,0.06043085547250439
Early,-175,-87.5,-0.10924938776077384
Early,-175,-85,-0.2530502903874593
Early,-175,-82.5,-0.2781257378775514
Early,-175,-80,-0.21035971064408468
Early,-175,-77.5,-0.11353435025205812
Early,-175,-75,-0.0031587119517072237
Early,-175,-72.5,0.13110322328611862
Early,-175,-70,0.2372195480485926
Early,-175,-67.5,0.23583536325108728
Early,-175,-65,0.1273366206171314
Early,-175,-62.5,0.011100882869416321
Early,-175,-60,-0.03682940772621775
Early,-175,-57.5,-0.048135420697637855
Early,-175,-55,-0.08656485696470838
Early,-175,-52.5,-0.16169626047563504
Early,-175,-50,-0.2238446414655924
Early,-175,-47.5,-0.23375300192543416
Early,-175,-45,-0.1897384982313809
Early,-175,-42.5,-0.10835512664117597
Early,-175,-40,-0.011897397972320747
Early,-175,-37.5,0.06157095711508787
Early,-175,-35,0.09886921331836164
Early,-175,-32.5,0.13126286462027376
Early,-175,-30,0.19528255730331026
Early,-175,-27.5,0.27294564028377843
Early,-175,-25,0.3024623493134095
Early,-175,-22.5,0.2521693998096878
Early,-175,-20,0.13743446704710685
Early,-175,-17.5,0.0011655404863198477
Early,-175,-15,-0.11954788232862863
Early,-175,-12.5,-0.19761163349373426
Early,-175,-10,-0.22364444564430322
Early,-175,-7.5,-0.22402811696915387
Early,-175,-5,-0.24242608532788373
Early,-175,-2.5,-0.2903055444640458
Early,-175,0,-0.31848205093850984
Early,-175,2.5,-0.274963329578708
Early,-175,5,-0.16493556224066327
Early,-175,7.5,-0.04949917264645823
Early,-175,10,0.026037254705672284
Early,-175,12.5,0.06254574886540948
Early,-175,15,0.09192619445778397
Early,-175,17.5,0.1363883314902928
Early,-175,20,0.19622938340751958
Early,-175,22.5,0.24921403384728255
Early,-175,25,0.26463189280685323
Early,-175,27.5,0.221778722045897
Early,-175,30,0.12761698882791256
Early,-175,32.5,0.00840015216773338
Early,-175,35,-0.11504488542401825
Early,-175,37.5,-0.22988571498244126
Early,-175,40,-0.3119520828089394
Early,-175,42.5,-0.3413679467281616
Early,-175,45,-0.31542021180033486
Early,-175,47.5,-0.24793336145396971
Early,-175,50,-0.14192057702315294
Early,-175,52.5,0.00979035706314736
Early,-175,55,0.18379034105287126
Early,-175,57.5,0.2915573434247384
Early,-175,60,0.2535240959983668
Early,-175,62.5,0.09877351542897163
Early,-175,65,-0.04736893097127881
Early,-175,67.5,-0.10022611915848623
Early,-175,70,-0.08189340720763788
Early,-175,72.5,-0.053833696169945724
Early,-175,75,-0.01213061103053973
Early,-175,77.5,0.0997029400783309
Early,-175,80,0.2692694532311612
Early,-175,82.5,0.3896110838731286
Early,-175,85,0.35620904884169696
Early,-175,87.5,0.1686389931123607
Early,-175,90,-0.07555324501149557
Early,-172.5,-90,0.03855725360725529
Early,-172.5,-87.5,-0.13253040535245547
Early,-172.5,-85,-0.2851654756638612
Early,-172.5,-82.5,-0.3251521631557646
Early,-172.5,-80,-0.2529100885331062
Early,-172.5,-77.5,-0.12061672158375737
Early,-172.5,-75,0.045047425603050674
Early,-172.5,-72.5,0.22193531153809257
Early,-172.5,-70,0.3450446206242215
Early,-172.5,-67.5,0.34959077116699677
Early,-172.5,-65,0.2548809055384722
Early,-172.5,-62.5,0.15055214413062032
Early,-172.5,-60,0.08892656955746195
Early,-172.5,-57.5,0.04093328728201081
Early,-172.5,-55,-0.03833077032029694
Early,-172.5,-52.5,-0.1336735581933265
Early,-172.5,-50,-0.19564852076993547
Early,-172.5,-47.5,-0.20242287696043126
Early,-172.5,-45,-0.15966369186347412
Early,-172.5,-42.5,-0.07433719107633378
Early,-172.5,-40,0.0326881393802569
Early,-172.5,-37.5,0.13324920577129595
Early,-172.5,-35,0.20991726095322777
Early,-172.5,-32.5,0.2856158503398073
Early,-172.5,-30,0.3774056256555049
Early,-172.5,-27.5,0.4498624865026089
Early,-172.5,-25,0.4442004761629409
Early,-172.5,-22.5,0.34529360932759845
Early,-172.5,-20,0.20135525818897085
Early,-172.5,-17.5,0.06247443835901748
Early,-172.5,-15,-0.05009610274461608
Early,-172.5,-12.5,-0.12904331995539442
Early,-172.5,-10,-0.16539622923793912
Early,-172.5,-7.5,-0.1717067147977137
Early,-172.5,-5,-0.19301482258848163
Early,-172.5,-2.5,-0.2491283347558418
Early,-172.5,0,-0.29561529352980515
Early,-172.5,2.5,-0.2720669797647275
Early,-172.5,5,-0.1763280195482915
Early,-172.5,7.5,-0.07451756596196192
Early,-172.5,10,-0.024613147474363238
Early,-172.5,12.5,-0.015598019427176249
Early,-172.5,15,0.004238469444769466
Early,-172.5,17.5,0.06475682916540525
Early,-172.5,20,0.1516553056881934
Early,-172.5,22.5,0.22615404435936912
Early,-172.5,25,0.26097979094505647
Early,-172.5,27.5,0.24852272696636407
Early,-172.5,30,0.19235232311512362
Early,-172.5,32.5,0.09436485661905634
Early,-172.5,35,-0.041847558610218695
Early,-172.5,37.5,-0.19689161951315234
Early,-172.5,40,-0.32668931033433996
Early,-172.5,42.5,-0.37735238617356726
Early,-172.5,45,-0.326238799623195
Early,-172.5,47.5,-0.20697263300013227
Early,-172.5,50,-0.06555196628320722
Early,-172.5,52.5,0.0754312606957501
Early,-172.5,55,0.2082637977555423
Early,-172.5,57.5,0.2814175285940148
Early,-172.5,60,0.23771330442328284
Early,-172.5,62.5,0.09178850632331291
Early,-172.5,65,-0.054703390275638884
Early,-172.5,67.5,-0.11257809694609683
Early,-172.5,70,-0.09568722638236979
Early,-172.5,72.5,-0.07176327391607171
Early,-172.5,75,-0.04170606680094714
Early,-172.5,77.5,0.054483869283988635
Early,-172.5,80,0.21721419880176074
Early,-172.5,82.5,0.3448175111597427
Early,-172.5,85,0.3242311473935751
Early,-172.5,87.5,0.14982135796856325
Early,-172.5,90,-0.08410835503780938
Early,-170,-90,0.017252728286016532
Early,-170,-87.5,-0.15616681159654444
Early,-170,-85,-0.31482772821032595
Early,-170,-82.5,-0.3651317064570692
Early,-170,-80,-0.2835059675701881
Early,-170,-77.5,-0.11172286174931971
Early,-170,-75,0.10735800323731075
Early,-170,-72.5,0.31833825448091
Early,-170,-70,0.44662892996430564
Early,-170,-67.5,0.4504558493513091
Early,-170,-65,0.36639704673255014
Early,-170,-62.5,0.27458730101926
Early,-170,-60,0.20267335500853945
Early,-170,-57.5,0.12031393230288596
Early,-170,-55,0.01320001199958365
Early,-170,-52.5,-0.0837282587239709
Early,-170,-50,-0.12753063696555736
Early,-170,-47.5,-0.1205200843776887
Early,-170,-45,-0.07682723242361
Early,-170,-42.5,0.0033961455908701177
Early,-170,-40,0.1204927041930756
Early,-170,-37.5,0.2502267617234703
